OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover,Notes
OOTU_1,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,Gossypium thurberi ,,0,0,
OOTU_2,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium ultimum sp. complex,,0,0,Matches ultimum
OOTU_3,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,unidentified,,0,0,
OOTU_4,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium attrantheridium,"Stramenopila-OEO_O292,p__Oomycota,c__Oomycetes",100,100,Globisporangium attrantheridium
OOTU_5,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,unidentified,,0,0,
OOTU_6,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium terrestre/sylvaticum,"Stramenopila-OEO_O308,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_sylvaticum",100,100,
OOTU_7,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,unidentified,unidentified,,0,0,
OOTU_8,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,Gossypium triphyllum ,,0,0,
OOTU_9,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium vexans ,"Stramenopila-OEO_O244,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae",96.484,100,
OOTU_10,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,unidentified,,0,0,
OOTU_11,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,unidentified,,0,0,some basal pythium
OOTU_12,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium irregulare ,"Stramenopila-OEO_O212,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_irregulare",100,100,
OOTU_13,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium irregulare ,"Stramenopila-OEO_O133,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_irregulare",100,100,
OOTU_14,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium schmitthenneri ,"Stramenopila-OEO_O36,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae",86.22,100,
OOTU_15,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_16,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,"Stramenopila-OEO_O292,p__Oomycota,c__Oomycetes",96,100,
OOTU_17,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,unidentified,unidentified,"Stramenopila-OEO_O36,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae",100,100,
OOTU_18,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,unidentified,,0,0,
OOTU_19,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium spinosum,"Stramenopila-OEO_O214,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium",99.6,100,
OOTU_20,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,unidentified,,0,0,
OOTU_21,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium rostratifingens ,"Stramenopila-OEO_O249,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_rostratifingens",100,100,
OOTU_22,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,unidentified,unidentified,,0,0,
OOTU_23,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium selbyi ,"Stramenopila-OEO_O36,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae",96.4,100,
OOTU_24,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_25,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_26,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,unidentified,unidentified,"Stramenopila-OEO_O314,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Pythium",90.875,100,
OOTU_27,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,unidentified,,0,0,
OOTU_28,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_29,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,unidentified,"Stramenopila-OEO_O308,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_sylvaticum",94.4,100,
OOTU_30,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_31,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Hyaloperonospora,Hyaloperonospora parasitica ,,0,0,
OOTU_32,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium heterothallicum ,"Stramenopila-OEO_O316,p__Oomycota,c__Oomycetes,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_heterothallicum",100,97,
OOTU_33,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades ,,0,0,
OOTU_34,Viridiplantae,Chlorophyta,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_35,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Peronospora,Peronospora flava ,"Stramenopila-OEO_O116,p__Oomycota,c__Oomycetes,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_aleatoria",81.25,100,
OOTU_36,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Lagenidium,unidentified,,0,0,
OOTU_37,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_38,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora aleatoria ,"Stramenopila-OEO_O116,p__Oomycota,c__Oomycetes,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_aleatoria",100,100,
