"","Manuscript_Species","BREWTON1_2021","BREWTON1_2022","BREWTON2_2021","BREWTON2_2022","EVS1_2021","EVS2_2021","EVS2_2022","GULFCOAST1_2021","GULFCOAST1_2022","GULFCOAST2_2021","GULFCOAST2_2022","LAWRENCE1","LAWRENCE1_2022","LAWRENCE2","LAWRENCE2_2022","Prattville1","PRATTVILLE1_2021","PRATTVILLE1_2022","Prattville2","PRATTVILLE2_2021","PRATTVILLE2_2022","TVREC1_2021","TVREC1_2022","TVREC2_2021","TVREC2_2022","WIREGRASS_2021","WIREGRASS_2022"
"1","Globisporangium irregulare",3,2,14,4,1,6,0,4,1,2,0,0,0,1,6,3,1,1,1,2,1,1,3,8,1,0,0
"2","Globisporangium spinosum",1,0,2,0,5,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"3","Pythium inflatum",1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Globisporangium orthogonon",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"5","Lagenidium sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Pythium deliense",0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Pythium oligandrum",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Pythium oligandrum/cedri",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Globisporangium acanthophoron",0,0,1,0,0,0,0,0,6,2,0,3,6,2,2,0,0,0,0,0,0,0,2,1,1,0,0
"10","Phytopythium cucurbitacearum",0,0,2,0,0,0,1,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"11","Phytopythium helicoides",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"12","Pythium aristosporum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Pythium sp. D37",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"14","Pythium torulosum",0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"15","Pythium acanthicum",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"16","Globisporangium rostratifingens",0,0,0,0,1,0,0,1,0,3,0,0,1,0,1,1,2,0,0,0,0,7,1,11,4,0,0
"17","Globisporangium sylvaticum",0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,10,2,0,0,0
"18","Globisporangium longandrum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"19","Globisporangium perplexum",0,0,0,0,0,1,0,1,0,0,0,3,6,1,11,0,0,0,0,0,0,4,0,0,0,0,0
