IsolateCode,Set,Trial,Rep,DSI,Genus,Species,Genus_Species,Label
Negative Control,1_2021,1,1,10,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,1,1,10,Negative,Control,Negative Control,Negative Control
Negative Control,1_2021,1,2,15,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,1_2021,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,1_2021,2,1,20,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,1_2021,2,2,10,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,1_2021,2,3,15,Negative,Control,Negative Control,Negative Control
Negative Control,1_2022,2,3,5,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,1,2,15,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,1,3,10,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,1,3,10,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,2,1,10,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,2,2,10,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,2_2021,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,2_2022,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,1,1,10,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,1,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,1,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,1,3,10,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,2,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,3_2021,2,3,5,Negative,Control,Negative Control,Negative Control
Negative Control,3_2022,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,1,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,1,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,2,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2021,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,4_2022,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,1,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,1,3,15,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,2,2,5,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2021,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,5_2022,2,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,1,1,5,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,1,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,1,3,0,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,2,1,0,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,2,2,0,Negative,Control,Negative Control,Negative Control
Negative Control,6_2022,2,3,0,Negative,Control,Negative Control,Negative Control
OEO_O132,4_2021,1,1,35,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O132,4_2021,1,2,35,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O132,4_2021,1,3,35,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O132,4_2021,2,1,20,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O132,4_2021,2,2,10,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O132,4_2021,2,3,10,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O135,1_2021,1,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O135,1_2021,1,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O135,1_2021,1,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O135,1_2021,2,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O135,1_2021,2,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O135,1_2021,2,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,1,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,1,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,1,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,2,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,2,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O146,3_2021,2,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,1,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,1,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,1,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,2,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,2,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O148,3_2021,2,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O149,3_2021,1,1,25,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O149,3_2021,1,2,20,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O149,3_2021,1,3,15,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O149,3_2021,2,1,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O149,3_2021,2,2,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O149,3_2021,2,3,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O160,3_2021,1,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O160,3_2021,1,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O160,3_2021,1,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O160,3_2021,2,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O160,3_2021,2,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O160,3_2021,2,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O170,3_2021,1,1,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O170,3_2021,1,2,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O170,3_2021,1,3,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O170,3_2021,2,1,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O170,3_2021,2,2,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O170,3_2021,2,3,100,Globisporangium,spinosum,Globisporangium spinosum,G. spinosum
OEO_O183,4_2021,1,1,35,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O183,4_2021,1,2,20,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O183,4_2021,1,3,40,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O183,4_2021,2,1,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O183,4_2021,2,2,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O183,4_2021,2,3,0,Pythium,torulosum,Pythium torulosum,Py. torulosum
OEO_O188,3_2021,1,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O188,3_2021,1,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O188,3_2021,1,3,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O188,3_2021,2,1,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
OEO_O188,3_2021,2,2,100,Globisporangium,irregulare,Globisporangium irregulare,G. irregulare
