Date,Vantage Pro 2,,,,Soil Temp & Moisture,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture
2021-05-17 12:00 AM CDT,55.2,84.1,70.27,0,67.5,78.6,72.6,11.62,12.5,10.7
2021-05-18 12:00 AM CDT,62.6,84.7,72.82,0,70.1,78.6,73.88,12.17,12.8,11.4
2021-05-19 12:00 AM CDT,67.1,85.2,75.14,0,70.9,79.7,74.61,12.8,13.4,12.1
2021-05-20 12:00 AM CDT,65.9,84.8,74.71,0,71.4,79.5,75.07,13.48,14.3,12.8
2021-05-21 12:00 AM CDT,65.7,85.9,74.42,0,70.7,80.6,75.11,14.28,15.4,13.6
2021-05-22 12:00 AM CDT,62.6,85.4,73.42,0,71.6,81.4,75.84,15.8,16.8,15.1
2021-05-23 12:00 AM CDT,60.2,88.3,74.25,0,71.4,83.3,76.79,16.8,18.1,15.7
2021-05-24 12:00 AM CDT,61.5,89.1,75.87,0,72.6,84.3,77.99,18.18,19.5,17.1
2021-05-25 12:00 AM CDT,61.2,90.6,75.37,0,73.3,84.9,78.42,19.59,21.2,18.2
2021-05-26 12:00 AM CDT,59.9,89,74.65,0,73,84.9,78.38,20.31,21.6,19
2021-05-27 12:00 AM CDT,67.8,90.9,78.06,0,75.7,86.3,80.11,20.77,22.1,19.3
2021-05-28 12:00 AM CDT,67.2,90,77.79,0.04,75.6,85.3,79.88,21.12,22.5,19.6
2021-05-29 12:00 AM CDT,64.4,83.2,73.88,0,75,84.9,79.58,20.31,21.4,19.1
2021-05-30 12:00 AM CDT,55.9,80.5,67.89,0,72.1,84.3,77.49,20.52,22.3,18.9
2021-05-31 12:00 AM CDT,55.2,88.5,71.85,0,71.6,84.1,77.2,21.96,23,21.3
2021-06-01 12:00 AM CDT,62.1,87.8,74.02,0,73.5,82.5,77.86,22.66,24.7,21.9
2021-06-02 12:00 AM CDT,67.3,89.3,75.77,0,74.9,83.9,78.57,22.38,23.2,21.5
2021-06-03 12:00 AM CDT,67.8,85.9,74.53,0.03,75.2,82.1,78.36,22.28,22.9,21.5
,,,,,,,,,,
From planting to collection,,,,,,,,,,
Average,62.75555556,86.84444444,74.15055556,0.003888889,72.56111111,82.73333333,77.09666667,18.16833333,19.31666667,17.15555556
Median,62.6,86.85,74.475,0,72.35,83.6,77.675,19.95,21.3,18.55
SUM,1129.6,1563.2,1334.71,0.07,1306.1,1489.2,1387.74,327.03,347.7,308.8
STDEV,4.282415786,2.853938913,2.416895121,0.011447522,2.192806123,2.455006889,2.14452792,3.862812523,4.077520873,3.738861453
,,,,,,,,,,
five days following planting,,,,,,,,,,
Average,63.18333333,85.01666667,73.46333333,0,70.36666667,79.73333333,74.51833333,13.35833333,14.2,12.61666667
Median,64.15,85,73.92,0,70.8,79.6,74.84,13.14,13.85,12.45
SUM,379.1,510.1,440.78,0,422.2,478.4,447.11,80.15,85.2,75.7
STDEV,4.323617313,0.624232863,1.782903998,0,1.50155475,1.109354166,1.139919588,1.521294405,1.655294536,1.586715686
,,,,,,,,,,
three days following planting,,,,,,,,,,
Average,62.7,84.7,73.235,0,69.975,79.1,74.04,12.5175,13.25,11.75
Median,64.25,84.75,73.765,0,70.5,79.05,74.245,12.485,13.1,11.75
SUM,250.8,338.8,292.94,0,279.9,316.4,296.16,50.07,53,47
STDEV,5.34976635,0.454606057,2.218715845,0,1.734694978,0.583095189,1.077806414,0.80259475,0.793725393,0.903696114
