Date,Vantage Pro 2,,,,Soil Temp & Moisture,,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,,
2022-05-01 12:00 AM CDT,64.9,85.5,72.4,0.05,70.4,76.8,73.26,25.8,28.5,24,,,,,
2022-05-02 12:00 AM CDT,64.4,86.6,73.97,0,70.9,79.3,74.75,31.25,35.8,26.8,,,,,
2022-05-03 12:00 AM CDT,67.2,88.6,76.68,0,73.5,82,76.86,38.11,43.5,33,,,,,
2022-05-04 12:00 AM CDT,64.5,90.4,75.94,0,73.6,84.5,78.49,44.54,49.6,40.2,,,,,
2022-05-05 12:00 AM CDT,66,88.8,76.32,0,75.2,84.7,79.56,49.98,54.8,43.6,,,6.18,77.89903226,41.51612903
2022-05-06 12:00 AM CDT,64,85.6,75.38,0.29,74.9,80.8,77.71,28.29,54,20.6,,,,,
2022-05-07 12:00 AM CDT,57.6,83.8,70.4,0,70.4,80.8,75.13,25.57,29.6,23,,,,,
2022-05-08 12:00 AM CDT,54.9,85.8,69.48,0,69.9,82.5,75.66,32.49,37.8,29.3,,,,,
2022-05-09 12:00 AM CDT,59.6,84.6,71.06,0,70.9,82.5,76.24,39.65,43.1,37.3,,,,,
2022-05-10 12:00 AM CDT,56.7,84.7,69.93,0,71.4,83.7,76.87,44.09,48.1,41.4,,,,,
2022-05-11 12:00 AM CDT,54.7,88.1,71.85,0,71.1,84.1,77.25,48.15,52.3,45.3,,,,,
2022-05-12 12:00 AM CDT,60.6,87.9,73.5,0,73.3,85.1,78.39,51.34,55.4,49,,,,,
2022-05-13 12:00 AM CDT,60.3,88,73.47,0,73.1,85.3,78.78,54.54,58.6,51.8,,,,,
2022-05-14 12:00 AM CDT,60.7,86.3,74.04,0,73.8,85.3,79.43,56.43,60.5,53.7,,,,,
2022-05-15 12:00 AM CDT,65.7,91.2,75.23,0,75.6,87.5,80.71,59.21,65,56,,,,,
2022-05-16 12:00 AM CDT,64.1,91.9,76.34,0,75.6,87.1,80.71,61.2,64.3,58.1,,,,,
2022-05-17 12:00 AM CDT,66.4,90.6,77.51,0,76.8,88.6,81.98,63.18,67.7,60.1,,,,,
2022-05-18 12:00 AM CDT,65.6,94.1,79.23,0,77.7,88.4,82.64,65.25,69.1,62.1,,,,,
2022-05-19 12:00 AM CDT,69.5,92.7,79.7,0,78.4,89.2,83.25,65.56,70.1,60.8,,,,,
2022-05-20 12:00 AM CDT,69.8,89.2,77.14,0.02,78.4,84.1,81.47,65.53,68.8,60.8,,,,,
2022-05-21 12:00 AM CDT,69.9,89.9,77.66,0,77.5,84.5,80.59,66.32,69.8,60.5,,,,,
2022-05-22 12:00 AM CDT,67.1,80.9,71.36,0.59,75.2,79.5,77.43,58.47,69.3,22.6,,,,,
2022-05-23 12:00 AM CDT,68.4,80,72.31,0.48,73.3,79.7,76.02,19.52,22.6,18.2,,,,,
2022-05-24 12:00 AM CDT,68.6,86.6,76.34,0.23,74,83.1,78.03,19.62,22.1,17.7,,,,,
2022-05-25 12:00 AM CDT,68.6,81.9,73.78,1.61,71.4,79.5,76.34,18.04,20.7,15.9,,,,,
2022-05-26 12:00 AM CDT,67.4,77.1,71.05,2.41,70.7,74.7,72.58,18.31,19.7,16.6,,,,,
2022-05-27 12:00 AM CDT,64.5,86.4,74.32,0,70.4,79.9,74.58,19.4,20.9,18.2,,,,,
2022-05-28 12:00 AM CDT,59.8,85,72.03,0,69.9,82.1,75.6,22.24,24.2,20.8,,,,,
2022-05-29 12:00 AM CDT,61,84.3,72.57,0,71.8,79.9,76.17,25.75,27.8,23.9,,,,,
2022-05-30 12:00 AM CDT,65.9,90.9,76.86,0,73,85.7,78.63,33.09,40.1,27.8,,,,,
2022-05-31 12:00 AM CDT,65.1,90.7,75.25,0.5,75.4,86.1,79.76,36.08,46,21.8,,,,,
2022-06-01 12:00 AM CDT,66.2,91.4,77.23,0.4,74.9,86.7,79.98,25.64,28,22.4,,,,,
2022-06-02 12:00 AM CDT,68.3,91.5,78.79,0.44,75.9,87.1,80.45,25.58,28.7,22.6,,,,,
2022-06-03 12:00 AM CDT,69.2,87.3,76.99,0.01,75.9,84.7,79.92,27.2,30.2,25.6,,,,,
2022-06-04 12:00 AM CDT,68.4,90,78.59,0,75.6,87.5,80.86,34.42,40.2,29.9,,,,,
2022-06-05 12:00 AM CDT,67.5,89.8,75.81,0,76.8,86.7,81.31,43.23,48.1,39.4,,,,,
2022-06-06 12:00 AM CDT,67,91.6,78.35,0,76.4,89.6,82.49,50.35,56.1,46.9,,,,,
2022-06-07 12:00 AM CDT,68.9,91.9,80.46,0,78,91.6,84.1,56.5,62.5,52.6,,,,,
2022-06-08 12:00 AM CDT,69.6,92.7,81.28,0,79.3,90.9,84.72,61.37,66.1,57.4,,,,,
2022-06-09 12:00 AM CDT,74.6,92.2,82.36,0,81,90.7,85.09,67.16,73.7,62.4,,,,,
2022-06-10 12:00 AM CDT,68.3,89.9,75.17,0.68,77.3,88.6,81.41,49.6,67.3,24.3,,,,,
2022-06-11 12:00 AM CDT,66.4,88.3,76.74,0.01,75,85.7,80.09,28.9,33.3,24.4,,,,,
2022-06-12 12:00 AM CDT,68.8,92.9,80.83,0,76.4,89.6,82.53,39.02,47.9,32.9,,,,,
2022-06-13 12:00 AM CDT,75.4,94.8,84.11,0,80.5,92.7,85.73,52,59.3,46.8,,,,,
2022-06-14 12:00 AM CDT,72.8,94.6,83.2,0.14,82.1,93.3,86.66,58.07,68.7,43.9,,,,,
2022-06-15 12:00 AM CDT,69.1,93.9,79.93,0.12,79.2,92,84.68,49.52,56.9,43.3,,,,,
2022-06-16 12:00 AM CDT,72.8,94.9,82.98,0,80.3,91.8,85.78,57.81,64.5,53.7,,,,,
2022-06-17 12:00 AM CDT,72.3,94.9,83.5,0,80.8,93.8,86.92,63.27,69.3,56.3,,,,,
2022-06-18 12:00 AM CDT,75.8,95.9,84.89,0,83.1,94.2,87.98,67.56,73.6,62.6,,,,,
2022-06-19 12:00 AM CDT,71.2,93.2,81.47,0,81,94.2,87.14,70.22,75.9,60.4,,,,,
2022-06-20 12:00 AM CDT,72.9,93.3,81.36,0.02,82.1,91.6,86.67,71.6,74.8,61.2,,,,,
2022-06-21 12:00 AM CDT,72.8,95.5,83.22,0,81.4,95.1,87.54,68.59,78.3,54.8,,,,,
2022-06-22 12:00 AM CDT,72.6,97.9,84.53,0,82.7,96.3,88.89,74.06,81,65,,,,,
2022-06-23 12:00 AM CDT,72.6,98.8,85.7,0,83.3,96.1,89.26,76.53,82.8,70.9,,,,,
2022-06-24 12:00 AM CDT,73.1,96,82.16,0.06,83.7,92.5,87.48,76.74,80.4,68,,,,,
2022-06-25 12:00 AM CDT,74,93.2,78.45,0,81.8,88.4,84.26,75.52,78.4,71.2,,,,,
2022-06-26 12:00 AM CDT,72.6,92.3,79.27,0,79.5,90.7,84.48,75.19,80.9,65,,,,,
2022-06-27 12:00 AM CDT,70.2,93.8,80.51,0,80.3,94.2,86.32,76.45,85.5,66.3,,,,,
2022-06-28 12:00 AM CDT,71.9,94.4,78.71,0.2,81.2,92.7,85.54,62.26,82.7,22.9,,,,,
2022-06-29 12:00 AM CDT,72,86.1,76.2,0.1,79.7,84.7,81.81,28.63,34.1,23.8,,,,,
2022-06-30 12:00 AM CDT,70.5,84.7,75.46,0.21,77.3,82.9,80.16,38.16,41.3,33.4,,,,,
