Date,Vantage Pro 2,,,,,,,,Soil Temp & Moisture,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Max Rain Rate,Relative Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,
2021-05-01 12:00 AM CDT,51.5,82.7,66.79,0,84.9,35.2,0,63.25,64.5,79.7,71.67,0.18,0.18,0.17,,5.38,71.91272727,0.112727273
2021-05-02 12:00 AM CDT,58.5,81.9,71.16,0,84.4,52.2,0,71.79,67.7,77.3,72.6,0.17,0.17,0.17,,,,
2021-05-03 12:00 AM CDT,65.6,86.7,74.92,3.09,84.7,62.3,8,74.56,68.7,79.3,73.52,0.16,0.17,0.12,,,,
2021-05-04 12:00 AM CDT,66,89,74.95,0.94,83.7,58.2,9.44,68.13,69.4,80.3,73.4,0.08,0.12,0.06,,,,
2021-05-05 12:00 AM CDT,62.7,76.2,69.53,0.01,84,60.6,0.01,74.49,69.4,74.3,71.51,0.06,0.06,0.05,,,,
2021-05-06 12:00 AM CDT,54.6,75.2,64.66,0,85.5,45.7,0,68.42,65.1,75.4,69.82,0.06,0.06,0.05,,,,
2021-05-07 12:00 AM CDT,48.7,72.2,60.6,0,85.4,38.6,0,66.63,62.7,73,67.77,0.07,0.08,0.06,,,,
2021-05-08 12:00 AM CDT,45.9,79.7,62.52,0,85.1,38.1,0,64.85,,,,,,,,,,
2021-05-09 12:00 AM CDT,51.5,86.7,70.69,0,84.9,48.9,0,68.41,64.1,79.9,72.63,0.13,0.14,0.12,,,,
2021-05-10 12:00 AM CDT,65.2,80.5,71.94,0.31,84,66,1.45,76.31,69.9,78.4,73.98,0.14,0.15,0.14,,,,
2021-05-11 12:00 AM CDT,66.3,81.5,72.12,0.82,83.7,60.9,5.88,69.3,70.4,79.2,74.11,0.12,0.15,0.08,,,,
2021-05-12 12:00 AM CDT,56.3,68.9,64.99,0.21,85,59.1,0.66,71.92,65.3,72.6,70.03,0.07,0.08,0.06,,,,
2021-05-13 12:00 AM CDT,50.5,73.4,60.91,0,86,55.5,0,75.6,62.4,73.3,68.88,0.08,0.09,0.08,,,,
2021-05-14 12:00 AM CDT,47.5,76.4,62.64,0,85,42.7,0,66.34,61.4,73.3,67.98,0.11,0.12,0.09,,,,
2021-05-15 12:00 AM CDT,49.5,79.9,64.67,0,85,39.2,0,64.89,62.5,77,69.9,0.14,0.15,0.12,,,,
2021-05-16 12:00 AM CDT,51.9,81.1,66.5,0,85.3,43.2,0,65.61,64.6,74.9,69.09,0.16,0.17,0.15,,,,
2021-05-17 12:00 AM CDT,53.9,82.6,68.71,0,84.8,50.7,0,69.59,67.4,79.9,74.4,0.18,0.19,0.17,,,,
2021-05-18 12:00 AM CDT,66.3,83.2,73.65,0,84.2,58,0,74.74,69.2,80.5,74.54,0.19,0.21,0.18,,,,
2021-05-19 12:00 AM CDT,66.6,83.8,75.42,0,84.4,58,0,72.3,70.4,81.4,75.81,0.19,0.21,0.18,,,,
2021-05-20 12:00 AM CDT,65.6,82.9,73.99,0,84.5,51.2,0,70.52,70.4,82.7,76.09,0.23,0.24,0.21,,,,
2021-05-21 12:00 AM CDT,61.7,85.9,73.92,0,85,50,0,70.83,69.9,83.5,76.49,0.23,0.24,0.22,,,,
2021-05-22 12:00 AM CDT,59.5,84.3,72.59,0,85.2,53.5,0,71.43,70.7,84.1,77.27,0.21,0.22,0.19,,,,
2021-05-23 12:00 AM CDT,59,89.7,74.18,0,84.9,43,0,66.77,71.2,86.7,79.07,0.2,0.2,0.19,,,,
2021-05-24 12:00 AM CDT,61.5,91.3,76.1,0,84.7,45.5,0,67.69,73.5,88.6,80.71,0.2,0.22,0.19,,,,
2021-05-25 12:00 AM CDT,64.2,90.8,77.31,0,84.5,44.6,0,65.6,75.2,87.5,81.5,0.18,0.2,0.16,,,,
2021-05-26 12:00 AM CDT,61.8,87.9,75.2,0,84.8,52.7,0,69.19,79.3,88.8,85.11,0.16,0.16,0.15,,,,
2021-05-27 12:00 AM CDT,66.5,87.4,75.19,0.06,84.4,61.5,2.09,73.78,77,86.1,80.97,0.14,0.15,0.13,,,,
2021-05-28 12:00 AM CDT,67.2,87.8,76.47,0.53,83.9,59.4,5.01,69.97,75.4,84.5,79.58,0.11,0.13,0.06,,,,
2021-05-29 12:00 AM CDT,59.1,78.5,71,0.01,85.4,57.3,0.01,70.36,73.1,80.8,76.99,0.07,0.09,0.05,,,,
2021-05-30 12:00 AM CDT,55,80.3,66.47,0,85.9,54.3,0,74.81,68.4,80.3,74.59,0.11,0.13,0.09,,,,
2021-05-31 12:00 AM CDT,55.9,85.2,70.73,0,85.6,50.3,0,72.91,70.1,82,77.06,0.09,0.11,0.08,,,,
2021-06-01 12:00 AM CDT,61.7,85.8,74.21,0,85.4,55,0,73.72,72.3,83.9,78.16,0.09,0.1,0.08,,,,
2021-06-02 12:00 AM CDT,63.8,86.8,74.95,0,85.5,55.4,0,75.46,74.3,82.9,78.26,0.08,0.08,0.07,,,,
2021-06-03 12:00 AM CDT,68.1,84.4,75,0.02,84.6,67.4,0.01,78.27,75.6,81.8,78.52,0.08,0.08,0.07,,,,
2021-06-04 12:00 AM CDT,69.8,86.6,76.18,0.01,84.1,61.6,0.01,73.02,75,83.5,78.78,0.08,0.09,0.07,,,,
2021-06-05 12:00 AM CDT,69.2,88.1,78.32,0,84.1,61.2,0,73.36,75.9,85.9,80.76,0.05,0.07,0.02,,,,
2021-06-06 12:00 AM CDT,72,86.3,76.96,0.47,83.7,63.4,5.19,73.44,77.3,79.9,78.44,0.03,0.03,0.02,,,,
2021-06-07 12:00 AM CDT,71.9,85,76.91,0.27,83.7,61,0.79,73.15,75.6,81.4,78.58,0.01,0.02,0.01,,,,
2021-06-08 12:00 AM CDT,70.6,90.1,75.93,0.27,84.1,58.9,2.04,71.02,75.6,84.3,78.7,0.03,0.04,0.02,,,,
2021-06-09 12:00 AM CDT,68.5,89.1,76.21,0.34,83.7,57,4.14,66.67,74.9,84.1,78.74,0.04,0.06,0,,,,
2021-06-10 12:00 AM CDT,68.7,84.4,76.07,0.19,83.5,56.3,2.72,71.01,75.4,81.8,78.76,0,0.01,0,,,,
2021-06-11 12:00 AM CDT,73.1,88.8,77.62,0.9,83.4,54.9,10.29,68.17,78,79.9,79.04,0.19,0.24,0.01,,,,
2021-06-12 12:00 AM CDT,75.1,91.4,81.17,0.2,83.1,54.9,3.47,70.04,76.6,84.3,80.45,0.11,0.25,0.03,,,,
2021-06-13 12:00 AM CDT,72.4,91.4,81.25,0,83.6,57.5,0,68.21,78.2,85.5,81.68,0.05,0.09,0.04,,,,
2021-06-14 12:00 AM CDT,70.9,91.9,77.65,0.28,83.7,57.1,3.02,68.78,78,86.9,80.69,0.16,0.32,0.06,,,,
2021-06-15 12:00 AM CDT,68.2,93.6,80.84,0.01,84.2,52,0.01,65.18,77.2,86.1,81.24,0.2,0.33,0.13,,,,
2021-06-16 12:00 AM CDT,62.5,87.3,75.09,0,84.8,43,0,65.56,75.2,82.1,78.91,0.12,0.13,0.12,,,,
2021-06-17 12:00 AM CDT,61.2,90.1,76.27,0,85.1,39.5,0,64.57,74,83.1,78.85,0.12,0.12,0.12,,,,
2021-06-18 12:00 AM CDT,63.8,90.6,76.49,0,84.9,60.4,0,74.54,75.4,83.5,79.45,0.12,0.12,0.12,,,,
2021-06-19 12:00 AM CDT,72.8,79.8,75.22,1.16,79.4,61.8,4.65,70.29,74.2,79.7,77.31,0.08,0.13,0.02,,,,
2021-06-20 12:00 AM CDT,71.2,88.1,78.42,0.53,84.3,64.3,0.62,73.3,74.3,81.8,77.92,0.01,0.02,0,,,,
2021-06-21 12:00 AM CDT,72.7,86.7,78.3,0.01,84.7,67.3,0.01,78.89,77.2,81.6,78.93,0,0.01,0,,,,
2021-06-22 12:00 AM CDT,66.7,84.4,76.11,0,84.6,69.6,0,79.11,75.9,80.5,77.97,0.01,0.01,0.01,,,,
2021-06-23 12:00 AM CDT,65.3,86.8,76,0,85,66.6,0,73.99,74.3,82,77.93,0.02,0.03,0.01,,,,
2021-06-24 12:00 AM CDT,71.9,88.4,78.79,0,84.2,65.8,0,76.05,76.8,82,79.09,0.04,0.05,0.03,,,,
2021-06-25 12:00 AM CDT,68.3,86.1,76.93,0,84.9,61.3,0,72.13,75.6,82.7,79.06,0.07,0.09,0.05,,,,
2021-06-26 12:00 AM CDT,67.2,88.9,77.75,0,84.6,62.9,0,74.71,75.6,83.3,80.49,0.12,0.14,0.1,,,,
2021-06-27 12:00 AM CDT,72.7,89.4,78.43,0,84.2,67.2,0,77.46,77.3,83.5,80.2,0.15,0.18,0.14,,,,
2021-06-28 12:00 AM CDT,69.9,89.1,79.67,0,84.2,61.5,0,73.21,77,84.9,80.99,0.2,0.23,0.17,,,,
2021-06-29 12:00 AM CDT,72.4,90.1,79.53,0.04,84.4,58.4,0.1,73.47,78.4,85.7,81.72,0.23,0.26,0.21,,,,
2021-06-30 12:00 AM CDT,69.2,91.1,77.74,0.04,84.9,62.9,0.25,78.35,78,84.7,80.95,0.26,0.29,0.23,,,,
