Date,Vantage Pro 2,,,,,,,,Soil Temp & Moisture,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Max Rain Rate,Relative Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture
2022-05-01 12:00 AM CDT,62.3,81.1,69.87,0.53,75.9,0.1,2.89,26.33,67.5,71.4,69.13,0.29,0.3,0.28
2022-05-02 12:00 AM CDT,62.4,85.3,72.61,0,75.6,0.1,0,31.19,67.5,74.2,69.56,0.28,0.28,0.28
2022-05-03 12:00 AM CDT,62.1,86,73.8,0.01,75.2,0.1,0.01,31.77,68.5,75.2,72.04,0.28,0.29,0.28
2022-05-04 12:00 AM CDT,65.7,87.3,75.55,0,75.1,0.1,0,38.9,70.2,76.1,73.41,0.29,0.29,0.28
2022-05-05 12:00 AM CDT,64,88.8,76.49,0,75.6,0.1,0,42.53,70.6,76.4,72.76,0.29,0.29,0.29
2022-05-06 12:00 AM CDT,64.9,83,75,0.14,77,7.3,0.73,52.92,71.1,75.4,73.41,0.29,0.3,0.29
2022-05-07 12:00 AM CDT,59.9,79.6,69.36,0,77.5,48.8,0,67.45,68.2,74.5,71.14,0.3,0.31,0.3
2022-05-08 12:00 AM CDT,51,79.2,65.71,0,77.5,15.3,0,56.77,66.7,75.4,70.89,0.31,0.32,0.3
2022-05-09 12:00 AM CDT,59.1,78.2,66.85,0,77.9,28,0,62.97,68.2,76.4,71.94,0.32,0.33,0.32
2022-05-10 12:00 AM CDT,53,84.8,68.58,0,77.3,11.6,0,48.36,67.7,77.3,72.55,0.33,0.34,0.33
2022-05-11 12:00 AM CDT,51.8,85.2,69.68,0.01,76.9,9.2,0.01,43.51,67.9,77.5,73,0.34,0.35,0.33
2022-05-12 12:00 AM CDT,60.2,87.2,73.48,0,76.6,2.3,0,39.21,70.6,79.9,74.9,0.35,0.36,0.34
2022-05-13 12:00 AM CDT,62.3,82.5,71.82,0,76.3,25.2,0,57.62,71.2,77.5,74.46,0.36,0.36,0.35
2022-05-14 12:00 AM CDT,60.5,86.6,73.76,0,75.7,5.1,0,49.86,71.1,79.2,75.01,0.36,0.37,0.36
2022-05-15 12:00 AM CDT,66.4,88.4,74.78,1.33,75.8,6.3,5.28,42.37,72.8,80.5,75.67,0.35,0.38,0.22
2022-05-16 12:00 AM CDT,62.6,88.5,75.07,0.01,75.5,0.1,0.01,40.66,71.8,79,75.31,0.17,0.22,0.16
2022-05-17 12:00 AM CDT,61.3,86.5,73.44,0,76.7,7.1,0,44.08,72.1,79.7,75.63,0.16,0.16,0.16
2022-05-18 12:00 AM CDT,57.1,90.4,74.69,0,76.4,7.7,0,42.04,70.6,78.4,74.25,0.17,0.17,0.16
2022-05-19 12:00 AM CDT,69.3,90.2,79.92,0,75.7,0.1,0,47.85,74.2,80.1,76.93,0.17,0.17,0.17
2022-05-20 12:00 AM CDT,71.2,88.9,76.77,0.69,75.7,1.8,5.94,32.98,74.9,80.6,76.84,0.17,0.17,0.16
2022-05-21 12:00 AM CDT,68.7,88.9,76.73,0.01,75.5,0.1,0.01,34.51,74,79.5,76.57,0.16,0.17,0.16
2022-05-22 12:00 AM CDT,65.8,85.8,73.22,0.25,75.2,0.1,1.81,30.98,73.6,78.8,75.86,0.17,0.17,0.16
2022-05-23 12:00 AM CDT,68.5,81.6,73.46,1.28,75.7,0.1,7.02,38.02,72.3,75.9,73.97,0.16,0.17,0.16
2022-05-24 12:00 AM CDT,68.9,86.6,75.4,0.31,75.6,0.9,5.94,35.91,72.6,77.2,74.68,0.16,0.16,0.15
2022-05-25 12:00 AM CDT,67.5,77.2,71.68,0.82,64.6,0.1,1.72,16.16,72.3,74.9,73.37,0.15,0.16,0.15
2022-05-26 12:00 AM CDT,68.5,73.5,71.17,0.53,46.6,3.5,1.08,24.64,71.4,73,72.04,0.15,0.15,0.15
2022-05-27 12:00 AM CDT,64.4,82.9,74.03,0.01,76.3,0.1,0.01,42.23,71.1,75.4,73.7,0.15,0.15,0.15
2022-05-28 12:00 AM CDT,58.6,83,70.88,0,76.7,2.2,0,43.13,69.4,76.4,73.09,0.15,0.16,0.15
2022-05-29 12:00 AM CDT,59.6,87.8,75.22,0,76.1,0.5,0,42.84,70.7,77.3,73.5,0.16,0.16,0.16
2022-05-30 12:00 AM CDT,65.8,89.3,77.86,0,75.5,1.2,0,45.45,73,80.3,76.44,0.16,0.17,0.16
2022-05-31 12:00 AM CDT,67.2,90.4,77.81,0,75.8,7.6,0,53.59,74,81.8,77.68,0.17,0.17,0.17
2022-06-01 12:00 AM CDT,67.5,91,79.33,0,75.7,0.1,0,41.53,75.2,79.9,76.99,0.18,0.18,0.17
2022-06-02 12:00 AM CDT,68.6,92.2,79.53,0,75.6,0.1,0,44.48,75.9,82.5,79.13,0.18,0.18,0.18
2022-06-03 12:00 AM CDT,67.7,88.8,77.83,0,75.6,0.1,0,49.88,76.3,82.1,79.18,0.19,0.19,0.18
2022-06-04 12:00 AM CDT,67.4,87.9,76.96,0,76.1,13.1,0,52.55,76.1,81.6,78.99,0.19,0.2,0.19
2022-06-05 12:00 AM CDT,67.3,88.4,77.32,0,76.7,12.8,0,55.26,75.9,82.9,79.12,0.2,0.2,0.2
2022-06-06 12:00 AM CDT,68.1,90,79.44,0,76.2,14,0,56.93,76.4,83.7,80.03,0.21,0.21,0.2
