Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,,
2021-05-01 12:00 AM CDT,52.1,85.1,67.63,0,95.5,31.8,64.9,73.5,69.01,0.25,0.28,0.23,,,4.18,0.164166667,69.72083333
2021-05-02 12:00 AM CDT,58.9,83.8,71.57,0,93.2,46.9,66.7,71.9,69.38,0.29,0.32,0.28,,,,,
2021-05-03 12:00 AM CDT,66.2,86.1,74.44,2.57,95,70.2,68.2,73.6,70.76,0.28,0.36,0.09,,,,,
2021-05-04 12:00 AM CDT,65.6,90,74.1,1.01,95.8,62.9,68,75.2,70.66,0.21,0.67,0.03,,,,,
2021-05-05 12:00 AM CDT,62.9,78.7,70.08,0,96.4,76.7,68.4,71.8,69.74,0.14,0.42,0.07,,,,,
2021-05-06 12:00 AM CDT,54.1,76.4,65.05,0,95.7,42.8,66.2,72.8,69.39,0.08,0.1,0.08,,,,,
2021-05-07 12:00 AM CDT,49.9,73.6,61.32,0,93.6,34.8,64.6,70.7,67.62,0.11,0.13,0.1,,,,,
2021-05-08 12:00 AM CDT,46,80.4,62.55,0,95.8,35.3,62.7,71.6,67.05,0.14,0.16,0.13,,,,,
2021-05-09 12:00 AM CDT,51.6,86.8,70.59,0,95.5,47,64.3,74.3,69.11,0.16,0.18,0.15,,,,,
2021-05-10 12:00 AM CDT,65.1,80.7,72.1,0.21,94.4,71.8,69,74,71.32,0.12,0.18,0.04,,,,,
2021-05-11 12:00 AM CDT,65.5,83.1,72.56,0.03,95.4,69.4,69.9,74.9,72.1,0.13,0.13,0.12,,,,,
2021-05-12 12:00 AM CDT,56.4,69.7,65.23,0.36,95.7,83,67.5,72.1,70.51,0.06,0.13,0.04,,,,,
2021-05-13 12:00 AM CDT,49.8,74.9,61.36,0,92.4,52.5,64.5,72.4,68.15,0.06,0.08,0.05,,,,,
2021-05-14 12:00 AM CDT,47.9,77.5,63,0,96.8,39.9,63.8,71.4,67.59,0.09,0.11,0.08,,,,,
2021-05-15 12:00 AM CDT,49.8,81.1,65.09,0.01,96.3,37.1,64,72.8,68.13,0.13,0.15,0.11,,,,,
2021-05-16 12:00 AM CDT,52.3,81.3,66.96,0,95.4,39.9,65.1,73.6,69.04,0.16,0.18,0.15,,,,,
2021-05-17 12:00 AM CDT,54.1,83.1,69.17,0,94.6,48.7,65.8,74.5,69.89,0.19,0.22,0.18,,,,,
2021-05-18 12:00 AM CDT,63.2,83.3,73.96,0,86.9,55.4,68.7,74.3,71.24,0.23,0.25,0.22,,,,,
2021-05-19 12:00 AM CDT,67.4,83.8,75.92,0,83,54.9,69.6,75.4,72.16,0.26,0.28,0.25,,,,,
2021-05-20 12:00 AM CDT,65.4,83.7,74.29,0,87.6,48.3,69.7,77.2,72.7,0.3,0.33,0.28,,,,,
2021-05-21 12:00 AM CDT,60.3,85.4,73.95,0,90.3,47.1,69,76.6,72.38,0.34,0.38,0.33,,,,,
2021-05-22 12:00 AM CDT,59.3,85.6,72.96,0,95,49.6,69,77.3,72.84,0.39,0.42,0.37,,,,,
2021-05-23 12:00 AM CDT,59.8,91.2,74.64,0,96.2,37.9,69.6,79.2,73.81,0.44,0.47,0.41,,,,,
2021-05-24 12:00 AM CDT,61.4,92.2,76.23,0,95.5,40.5,70.6,78.6,74.45,0.48,0.52,0.46,,,,,
2021-05-25 12:00 AM CDT,64.4,92.8,77.77,0,95.6,41.8,71.8,80.3,75.55,0.53,0.57,0.51,,,,,
2021-05-26 12:00 AM CDT,62.2,89.8,75.79,0,96.6,48.9,71.6,80.5,75.54,0.59,0.62,0.56,,,,,
2021-05-27 12:00 AM CDT,65.7,88.1,76.16,0,94.4,58.4,73,79.5,75.68,0.63,0.65,0.61,,,,,
2021-05-28 12:00 AM CDT,66.8,90,77.11,0.17,96.3,52.1,73,79.3,75.92,0.65,0.66,0.64,,,,,
2021-05-29 12:00 AM CDT,59.2,79.9,71.79,0,95.5,53.1,72.6,78.4,75.33,0.63,0.66,0.61,,,,,
2021-05-30 12:00 AM CDT,54.5,81.5,67.13,0,91.4,49.6,68.9,76.8,72.68,0.58,0.62,0.55,,,,,
2021-05-31 12:00 AM CDT,56.5,85.2,70.63,0,93.7,47.9,68.7,76.1,72.37,0.55,0.58,0.53,,,,,
2021-06-01 12:00 AM CDT,60.8,85.8,73.36,0,91,53.2,69.7,77.2,73.13,0.56,0.59,0.54,,,,,
2021-06-02 12:00 AM CDT,65.4,88.5,75.54,0,87.9,52.1,71.1,77.3,73.93,0.61,0.65,0.59,,,,,
2021-06-03 12:00 AM CDT,68.1,85.9,75.55,0,93.9,63.9,72.6,76.8,74.68,0.67,0.7,0.65,,,,,
2021-06-04 12:00 AM CDT,70.3,87.4,76.96,0,96,64.2,73.5,78.6,75.53,0.7,0.71,0.69,,,,,
2021-06-05 12:00 AM CDT,69.7,89.9,78.73,0.01,95.5,61.2,73.8,79.7,76.41,0.71,0.73,0.7,,,,,
2021-06-06 12:00 AM CDT,71.9,85.9,77.11,0.45,94.8,71.3,74.9,77.7,76,0.67,0.74,0.13,,,,,
2021-06-07 12:00 AM CDT,72,86.8,77.44,0.21,95.7,74.2,74.3,78,76.16,0.15,0.28,0.12,,,,,
2021-06-08 12:00 AM CDT,70.2,91.7,75.84,0.5,95.4,66.4,74.9,80.3,76.43,0.16,0.26,0.14,,,,,
2021-06-09 12:00 AM CDT,68.6,89.8,76.21,0.36,97.3,62.8,74.3,79.3,76.4,0.14,0.38,0.09,,,,,
2021-06-10 12:00 AM CDT,68.9,86.6,76.59,0.09,97.5,71.5,74.7,78.8,76.86,0.15,0.25,0.1,,,,,
2021-06-11 12:00 AM CDT,73.2,89.9,78.21,0.13,95.8,67.1,76.1,80.5,77.76,0.2,0.3,0.13,,,,,
2021-06-12 12:00 AM CDT,74,92.7,81.48,0,96.1,64.8,76.6,82.5,79.06,0.15,0.18,0.14,,,,,
2021-06-13 12:00 AM CDT,71.5,93.3,81.77,0.01,96.1,56,77,83.7,80.05,0.15,0.16,0.14,,,,,
2021-06-14 12:00 AM CDT,71.3,93.7,77.86,0.37,96.1,62.8,77.3,83.7,79.61,0.15,0.17,0.09,,,,,
2021-06-15 12:00 AM CDT,68.1,94.2,81.34,0.01,96.8,50.8,76.4,84.5,79.94,0.1,0.11,0.08,,,,,
2021-06-16 12:00 AM CDT,61.6,88.4,75.3,0,94.2,41,74.7,82,78.12,0.13,0.15,0.11,,,,,
2021-06-17 12:00 AM CDT,61.7,91.7,76.67,0,95.7,38.7,73.6,82,77.52,0.16,0.18,0.15,,,,,
2021-06-18 12:00 AM CDT,64.9,91.6,77.37,0,94.4,57.5,74.5,80.8,77.59,0.19,0.2,0.18,,,,,
2021-06-19 12:00 AM CDT,73.2,79.5,75.36,1.31,95,89.2,76.1,78,76.65,0.27,0.48,0.16,,,,,
2021-06-20 12:00 AM CDT,71,89.7,78.51,0.68,94.7,65.4,74.7,80.8,77.33,0.3,0.57,0.13,,,,,
2021-06-21 12:00 AM CDT,73.4,88.9,79.32,0.02,94.1,64.1,77.2,81.6,78.81,0.12,0.13,0.11,,,,,
2021-06-22 12:00 AM CDT,67.4,85.8,76.45,0.01,93.7,66.6,76.8,81,78.35,0.13,0.14,0.12,,,,,
2021-06-23 12:00 AM CDT,64.7,89.6,76.14,0,95,61.1,74.9,81,77.51,0.15,0.16,0.14,,,,,
2021-06-24 12:00 AM CDT,72.2,90.4,79.32,0,93.5,63.8,76.4,82.3,78.9,0.16,0.17,0.16,,,,,
2021-06-25 12:00 AM CDT,68.5,87.4,77.23,0,93.9,58.7,75.9,81.6,78.48,0.18,0.19,0.17,,,,,
2021-06-26 12:00 AM CDT,67.3,90.4,78.37,0,93.2,59.5,75.4,81.2,78.03,0.2,0.21,0.19,,,,,
2021-06-27 12:00 AM CDT,72.7,89.6,78.72,0.01,93.3,65.5,76.6,81.6,78.64,0.21,0.22,0.21,,,,,
2021-06-28 12:00 AM CDT,71.4,91.4,80.51,0,94.8,55,76.4,82.5,79.06,0.23,0.24,0.22,,,,,
2021-06-29 12:00 AM CDT,71.4,90.7,79.59,0.7,94.6,54.4,76.6,82.1,79.11,0.09,0.24,0.05,,,,,
2021-06-30 12:00 AM CDT,70.2,90.6,78.05,0.05,92.6,64.5,76.6,82.3,79.03,0.08,0.1,0.07,,,,,
