Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,74.65485714,21.40371429,1.66
2022-05-01 12:00 AM CDT,61.4,82.9,70.19,0,95.9,65.5,65.9,68.9,67.22,0.58,0.65,0.53,,,,,
2022-05-02 12:00 AM CDT,62.2,87.3,73.15,0.01,95.6,56.1,66.4,70.9,68.43,0.75,0.97,0.63,,,,,
2022-05-03 12:00 AM CDT,62.2,88.3,74.68,0,95.6,56.6,67.2,72.1,69.64,1.13,1.51,0.86,,,,,
2022-05-04 12:00 AM CDT,65.5,88.4,75.81,0,95.3,54.1,68.5,73.1,70.81,1.54,1.96,1.22,,,,,
2022-05-05 12:00 AM CDT,64.6,91.7,77.07,0,95.5,50.6,69,73.6,71.31,1.71,2,1.35,,,,,
2022-05-06 12:00 AM CDT,63.5,84.9,75.26,0.07,91.3,48.9,69.7,72.8,71.32,1.77,1.98,1.59,,,,,
2022-05-07 12:00 AM CDT,57.6,81.2,68.99,0,88.9,42.1,67.5,71.2,69.38,1.34,1.67,1.09,,,,,
2022-05-08 12:00 AM CDT,52.2,81.3,66.25,0,94.2,48.6,65.6,70.9,68.29,1.13,1.38,0.9,,,,,
2022-05-09 12:00 AM CDT,56.3,79.3,66.97,0,91.3,54.7,66.2,70.4,68.3,1.15,1.36,0.95,,,,,
2022-05-10 12:00 AM CDT,53.8,85.8,69.11,0,93.8,38.8,65.6,71.2,68.43,1.22,1.54,0.94,,,,,
2022-05-11 12:00 AM CDT,52.2,86.9,70.41,0,94.6,45.9,65.6,71.9,68.77,1.3,1.68,0.95,,,,,
2022-05-12 12:00 AM CDT,62,88.8,74.85,0,94.7,39.4,68,76.1,71.06,1.67,2,1.29,,,,,
2022-05-13 12:00 AM CDT,63.6,84.5,72.99,0,90.3,55.1,68.2,77.9,72.09,1.77,2,1.33,,,,,
2022-05-14 12:00 AM CDT,61.8,88.4,73.93,0,93.8,49.4,68.9,78.6,73.35,1.82,2,1.36,,,,,
