Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,
2022-05-01 12:00 AM CDT,69.2,83.6,75.24,0,85.1,58,75.6,81.6,78.15,0.2,0.21,0.2,,,,
2022-05-02 12:00 AM CDT,68,84.9,75.74,0,85.4,49.1,76.3,82.1,79.02,0.2,0.2,0.19,,,,
2022-05-03 12:00 AM CDT,68.8,85,75.88,0,85.6,45,77,83.3,79.81,0.19,0.2,0.18,,,,
2022-05-04 12:00 AM CDT,66.5,86.7,75.82,0,85.9,45.9,77.3,84.3,80.46,0.18,0.19,0.17,,,,
2022-05-05 12:00 AM CDT,66.6,86.4,76.37,0,85.8,44.9,77.9,84.7,81.08,0.18,0.18,0.17,,,,
2022-05-06 12:00 AM CDT,67.5,83,75.84,0.6,84.3,56.1,75.6,82.3,79.36,0.16,0.18,0.15,,,,
2022-05-07 12:00 AM CDT,63.3,85,74.44,0,75,37.9,74.3,81.8,77.78,0.15,0.16,0.14,,,,
2022-05-08 12:00 AM CDT,61,85.7,72.88,0,76.4,39.3,74,82.5,77.99,0.15,0.16,0.14,,,,
2022-05-09 12:00 AM CDT,63.3,84.1,73.44,0,83.7,52.3,75.7,82.5,78.84,0.14,0.15,0.13,,,,
2022-05-10 12:00 AM CDT,64.2,86.1,73.13,0,84.4,34.6,76.1,83.7,79.42,0.13,0.14,0.12,,5.74,79.94318182,0.139545455
2022-05-11 12:00 AM CDT,60.8,89.3,74.69,0,84.9,26,76.1,84.3,79.76,0.11,0.12,0.1,,,,
2022-05-12 12:00 AM CDT,64.1,87.6,75.52,0,78.9,38.2,77.3,82.9,80.03,0.11,0.12,0.1,,,,
2022-05-13 12:00 AM CDT,63.5,87.3,74.48,0.01,84.6,40.9,76.8,82,79.53,0.11,0.12,0.11,,,,
2022-05-14 12:00 AM CDT,65.9,87.5,75.35,0,82.2,43.8,76.8,83.1,79.76,0.11,0.12,0.1,,,,
2022-05-15 12:00 AM CDT,67.2,89.1,76.39,0.76,76.8,40.7,78.2,85.9,81.04,0.11,0.12,0.1,,,,
