Date,Vantage Pro 2,,,,,,,Soil Temp & Moisture,,,,,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Max Rain Rate,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,,,,
2021-05-01 12:00 AM CDT,54.2,82.3,68.16,0,93.8,21.3,0,66.6,71.6,69.15,0.16,0.18,0.15,,2.88,70.12263158,0.089473684
2021-05-02 12:00 AM CDT,61,81.7,71.05,0,88,46.5,0,67.7,70.6,69.2,0.19,0.2,0.18,,,,
2021-05-03 12:00 AM CDT,67.6,86,74.41,0.64,95.6,64.8,3.87,69,72.4,70.59,0.17,0.2,0.08,,,,
2021-05-04 12:00 AM CDT,65.8,89.8,75.8,1.04,97.4,58.2,5.01,70.4,74.3,72.09,0.06,0.08,0.01,,,,
2021-05-05 12:00 AM CDT,63.3,77.5,69.28,0.01,96.8,70.1,0.01,70.4,71.9,71.08,0.02,0.02,0.02,,,,
2021-05-06 12:00 AM CDT,54.6,76.2,65.35,0,93.5,33.6,0,68,72.4,70.33,0.03,0.04,0.02,,,,
2021-05-07 12:00 AM CDT,50.1,74,61.4,0,93.5,28.6,0,66.7,71.2,69.04,0.06,0.07,0.04,,,,
2021-05-08 12:00 AM CDT,46.3,79.6,63.99,0,96.1,29.1,0,65.4,70.6,68.07,0.08,0.09,0.07,,,,
2021-05-09 12:00 AM CDT,52.8,88.1,72.04,0,96.3,42.4,0,66.6,72.3,69.53,0.1,0.11,0.09,,,,
2021-05-10 12:00 AM CDT,63.9,79.6,71.24,0.32,96.1,67,0.38,69.7,72.6,71.18,0.08,0.12,0.06,,,,
2021-05-11 12:00 AM CDT,66.2,80.7,71.93,0,96.6,69.5,0,70.2,72.6,71.52,0.08,0.08,0.07,,,,
2021-05-12 12:00 AM CDT,56.9,69.2,65.25,0.87,96.1,79.3,3.72,69.6,71.8,70.61,0.03,0.08,0.02,,,,
