Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,,Tenn Valley REC WLL,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,Max Humidity,Min Humidity
2022-05-01 12:00 AM CDT,61.8,81.5,71.43,0.05,90.8,58.2,66.6,68.5,67.36,0.08,0.08,0.08,65.2,40.9
2022-05-02 12:00 AM CDT,56.2,86.6,70.06,0.01,92.1,50.2,66.7,69.7,68.01,0.08,0.08,0.07,60.1,38.5
2022-05-03 12:00 AM CDT,65.7,84.7,75.36,0,91,50.3,68.5,70.7,69.34,0.08,0.08,0.08,65.6,43.8
2022-05-04 12:00 AM CDT,64.7,82.6,72.94,0,91.4,63.5,69.6,72.3,70.59,0.09,0.09,0.08,62.5,42.6
2022-05-05 12:00 AM CDT,59.7,87.5,73.97,0.2,91.3,48.2,70.2,72.6,71.39,0.09,0.09,0.08,62.1,41.4
2022-05-06 12:00 AM CDT,60.4,75.1,67.3,0.15,91.3,59.1,70.2,72.6,71.24,0.09,0.09,0.08,66.7,43
2022-05-07 12:00 AM CDT,57,65.8,59.5,0.03,90.7,74.6,66.9,70.2,68.15,0.09,0.1,0.09,60.2,53.3
2022-05-08 12:00 AM CDT,51.8,75.7,63.77,0.02,92.2,50.8,64.9,67.7,66.16,0.09,0.1,0.09,58.1,34.7
2022-05-09 12:00 AM CDT,59.2,78.8,67.99,0.01,85,57.3,66.1,68.7,67.12,0.09,0.09,0.09,58.1,38.9
2022-05-10 12:00 AM CDT,58.7,82.7,70.42,0.01,90.3,52.9,67.2,70.4,68.35,0.09,0.09,0.09,59.5,37.5
2022-05-11 12:00 AM CDT,59.4,87.8,74.62,0,91.7,53.6,69,72.8,70.38,0.09,0.09,0.09,62.9,42.7
2022-05-12 12:00 AM CDT,68,89.1,76.7,0,90.9,42.4,71.8,74.5,72.73,0.09,0.09,0.09,65.3,38.2
2022-05-13 12:00 AM CDT,63.1,83.3,73.54,0,86.1,53.9,72.4,74.7,73.63,0.09,0.1,0.09,59.2,40.8
2022-05-14 12:00 AM CDT,63.4,87.3,75.08,0,91.2,47.7,72.6,74.9,73.67,0.1,0.1,0.1,60.4,39.8
2022-05-15 12:00 AM CDT,65.7,89.2,76.44,0,90.7,42.1,73.3,76.6,74.57,0.1,0.1,0.1,59.6,33.7
2022-05-16 12:00 AM CDT,61.3,83.4,72.61,0.01,91.3,38.3,74.5,76.6,75.6,0.11,0.11,0.09,61.8,38
2022-05-17 12:00 AM CDT,53.5,87,70.92,0,91.3,30.7,73.5,76.4,74.89,0.11,0.12,0.11,57.3,33.3
2022-05-18 12:00 AM CDT,57.1,87.9,74.79,0,91.7,40.4,73.6,76.1,74.88,0.12,0.12,0.12,57.2,40
2022-05-19 12:00 AM CDT,67.4,90.7,80.22,0,90.8,39.8,74.7,77.3,75.77,0.13,0.13,0.1,63.1,41.8
2022-05-20 12:00 AM CDT,72,90.1,80.75,0,85.9,43.9,75.7,77.9,76.67,0.14,0.15,0.13,63,40.2
2022-05-21 12:00 AM CDT,73,91.2,80.84,0,88.8,46.8,76.3,78.6,77.27,0.15,0.16,0.15,64.9,38.9
2022-05-22 12:00 AM CDT,65.8,87.1,73.66,0.36,91.1,54.5,76.6,78.6,77.51,0.17,0.18,0.15,62.7,45.7
2022-05-23 12:00 AM CDT,63.5,74.8,69.38,0.54,90.8,78.8,74.5,77.5,75.34,0.18,0.19,0.18,65.4,52.1
2022-05-24 12:00 AM CDT,62.8,79.6,70.14,0.12,91.4,71.6,72.4,74.5,73.13,0.18,0.19,0.18,68.9,53.9
2022-05-25 12:00 AM CDT,67,77.1,71.06,0.39,90.9,77.4,71.8,73.1,72.18,0.18,0.18,0.18,72.6,58.4
2022-05-26 12:00 AM CDT,65.3,76.5,69.81,1.12,91.1,56.8,70.9,72.1,71.35,0.13,0.18,0.08,74.1,59.3
2022-05-27 12:00 AM CDT,61.3,73.3,67.2,0.05,91.4,63.2,69.9,71.2,70.52,0.1,0.1,0.09,69.5,52.7
2022-05-28 12:00 AM CDT,56.1,80.5,68.26,0,91.8,54,69.6,72.1,70.61,0.09,0.1,0.09,64.1,42.1
2022-05-29 12:00 AM CDT,57.6,85.5,72.08,0.01,91.8,43.6,70.4,73.5,71.62,0.09,0.09,0.09,63,38.9
2022-05-30 12:00 AM CDT,65.4,89,76.41,0,89.4,47.2,72.1,75.4,73.29,0.08,0.09,0.08,62.2,41
2022-05-31 12:00 AM CDT,66,90.4,78.87,0,91.2,45.8,74,77.3,75.2,0.08,0.08,0.08,64.1,39.6
2022-06-01 12:00 AM CDT,67.4,92.8,80.61,0,91.1,42,75.9,79,77.05,0.08,0.08,0.08,64.3,39.6
2022-06-02 12:00 AM CDT,69.2,88.7,75.8,0.08,91,50.2,77.5,79.2,78.27,0.08,0.08,0.08,64.2,50
2022-06-03 12:00 AM CDT,64.1,82.8,73.92,0,90.9,46.6,76.1,78.4,76.99,0.08,0.08,0.08,66.4,45.7
2022-06-04 12:00 AM CDT,61.2,86.3,73.78,0,87.6,43,74.9,77.5,76.1,0.08,0.08,0.08,58.2,36.3
2022-06-05 12:00 AM CDT,61.9,86.8,75.22,0,90.6,47.2,75.6,77.9,76.73,0.08,0.09,0.08,58.1,42.8
2022-06-06 12:00 AM CDT,67.7,87.6,77.47,0,87.1,54.3,76.3,77.9,77.14,0.09,0.09,0.09,62.9,46.5
2022-06-07 12:00 AM CDT,70.6,89.4,78.16,0.11,90.8,59.4,76.6,77.9,77.34,0.1,0.1,0.09,67.2,47.2
2022-06-08 12:00 AM CDT,70.1,86.2,75.76,0.1,90.5,69.7,76.3,77.9,76.99,0.11,0.11,0.1,68.4,51.1
2022-06-09 12:00 AM CDT,63.2,85.3,75.34,0,90.8,50.9,75.9,77.3,76.61,0.12,0.12,0.11,68,42.3
2022-06-10 12:00 AM CDT,58.8,80.5,70.28,0,91.6,40.8,75,77.3,75.98,0.13,0.14,0.12,62.9,47.1
2022-06-11 12:00 AM CDT,59.6,88,74.24,0,91.6,43.8,74.3,77.7,75.64,0.14,0.15,0.13,61.1,36.3
2022-06-12 12:00 AM CDT,66.1,91.2,79.37,0,90.8,56.1,76.4,79.2,77.47,0.17,0.18,0.15,70,42.7
2022-06-13 12:00 AM CDT,74,95.3,85.04,0,90.5,55.8,78,80.6,79.07,0.2,0.23,0.18,60.1,44.7
