Date,Vantage Pro 2,,,,Soil Temp & Moisture,,,,,,Wiregrass REC WLL,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture,Max Humidity,Min Humidity,,,,
2022-05-01 12:00 AM CDT,64.5,82.2,71.98,0,69.6,72.4,70.96,182.07,191.9,158.1,56.8,52.3,,,,
2022-05-02 12:00 AM CDT,64.5,87,74.4,0,69.7,74,71.79,190.15,200,167.6,56.7,50.5,,,,
2022-05-03 12:00 AM CDT,61.8,88.5,75.84,0,70.4,74.9,72.57,199.66,200,196.6,56,50,,,,
2022-05-04 12:00 AM CDT,70.7,89.5,78.49,0,72.3,76.6,74.24,200,200,200,57.7,52.4,,170.9655,2.23,74.5925
2022-05-05 12:00 AM CDT,67.8,90.7,78.86,0,73,76.6,74.83,200,200,200,57.8,52.9,,,,
2022-05-06 12:00 AM CDT,67.6,82.8,75.3,0.36,73.1,75,74.18,155.59,200,118.2,60,53.9,,,,
2022-05-07 12:00 AM CDT,62,82.9,71.59,0,71.2,75.7,73.36,128.79,139.2,120,55.3,46.4,,,,
2022-05-08 12:00 AM CDT,56,82.3,69.14,0,70.6,75,72.82,142.75,150.6,138,47.5,44.4,,,,
2022-05-09 12:00 AM CDT,59.8,79.9,68.87,0,70.9,74.9,72.77,153,160.5,148.7,48.6,45.7,,,,
2022-05-10 12:00 AM CDT,54.8,83.9,69.98,0,70.4,74.7,72.54,162.63,169.2,158.2,46.7,41.8,,,,
2022-05-11 12:00 AM CDT,57.6,86.2,72.67,0,70.2,75,72.57,172.24,179.5,167.6,46.7,41.3,,,,
2022-05-12 12:00 AM CDT,62.4,87.6,75.34,0,71.2,75.7,73.37,183.58,193.2,177.2,46.9,42.5,,,,
2022-05-13 12:00 AM CDT,64.6,84.1,73.45,0,72.1,76.3,74.11,195.99,200,190.8,52.7,45.4,,,,
2022-05-14 12:00 AM CDT,62.4,86.6,74.33,0,72.4,76.3,74.38,200,200,200,53.3,48.8,,,,
2022-05-15 12:00 AM CDT,66.4,88.6,72.94,0.08,73.1,75.9,74.44,197.69,200,171.2,54.6,49.9,,,,
2022-05-16 12:00 AM CDT,63.8,90,76.38,0,72.1,77.9,74.79,194.39,200,183.8,57.4,51.2,,,,
2022-05-17 12:00 AM CDT,67.6,91.1,78.7,0,73.8,78.8,76.18,199.46,200,196.8,54.8,47.3,,,,
2022-05-18 12:00 AM CDT,64.7,93.8,79.86,0,74,79.3,76.57,200,200,200,56.5,45.4,,,,
2022-05-19 12:00 AM CDT,73,93.5,81.47,0,76.3,80.3,78.06,200,200,200,59.3,53.9,,,,
2022-05-20 12:00 AM CDT,69.9,89.6,76.58,0,76.1,78.2,77.28,200,200,200,59.1,53.4,,,,
2022-05-21 12:00 AM CDT,70.1,88.6,76.64,0.21,75.6,77.9,76.51,193.11,200,162.5,60.3,54.8,,,,
2022-05-22 12:00 AM CDT,66.7,86.9,72.05,0.94,74,75.7,74.73,96.03,162.5,35.8,58,54.2,,,,
2022-05-23 12:00 AM CDT,68.6,81.2,73.44,0.64,73,75,74.12,44.06,47.9,35.5,60.8,55.6,,,,
2022-05-24 12:00 AM CDT,68.7,86.6,73.94,0.08,73.5,76.3,74.56,52.22,55.1,47.9,61.9,55.9,,,,
2022-05-25 12:00 AM CDT,67.8,75.9,70.36,0.59,73,75,73.81,51.56,59.2,42.9,61.8,56.9,,,,
2022-05-26 12:00 AM CDT,66.5,73.3,69.45,0.58,71.9,73,72.25,48.68,51.8,43.6,63.5,55.2,,,,
2022-05-27 12:00 AM CDT,68.6,87.2,76.46,0.1,71.9,75.7,73.66,52.77,58.6,48.4,66.2,52.9,,,,
2022-05-28 12:00 AM CDT,62.4,85,73.86,0,72.4,77.3,74.76,63.88,70.8,58.3,53.9,49.9,,,,
2022-05-29 12:00 AM CDT,63.9,88.3,75.89,0,73.6,77.5,75.58,76.57,83.7,70.7,57.2,50,,,,
