CollectionNumber,Collection_Code,Experimental_Code,County_Collected,Location_farm,Location_Code,Location,Year,Latitude,Longitude,Host Plant,Date Collected,Stoarage Location,Storage conditions,Locus1 sequenced,Primers Locus 1,Organism,Clade,Manuscript_Species,Label,Query coverage,percent_Pairwise_Identity,Sequence Length,Sub. Accession number,Sub. strain,Pathogenicity
332,OEO_O332,GF-CT-1,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporagium acanthophoron CBS 337.29,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.334,601,AF216652.1,Globisporagium acanthophoron CBS 337.29,
339,OEO_O339,GF-CT-7,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.358,937,AY598711.2,Globisporangium acanthophoron CBS 337.30,Yes
334,OEO_O334,GF-CT-3,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.465,937,AY598711.2,Globisporangium acanthophoron CBS 337.30,
335,OEO_O335,GF-CT-4,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.03,928,AY598711.2,Globisporangium acanthophoron CBS 337.30,
340,OEO_O340,GF-CT-8,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.241,922,AY598711.2,Globisporangium acanthophoron CBS 337.30,
342,OEO_O342,GF-CT-10,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.249,932,AY598711.2,Globisporangium acanthophoron CBS 337.30,
349,OEO_O349,GF-CT-24,Baldwin,Gulfcoast Research and Education Center,GULFCOAST1_2022,South,2022,30.538235,-87.883997,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,98.944,947,AY598711.2,Globisporangium acanthophoron CBS 337.30,
231,OEO_O231,GF-CT2-3,Baldwin,Gulfcoast Research and Education Center,GULFCOAST2_2021,South,2021,30.54,-87.88,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,928,AY598711.2,Globisporangium acanthophoron CBS 337.30,
233,OEO_O233,GF-CT2-6,Baldwin,Gulfcoast Research and Education Center,GULFCOAST2_2021,South,2021,30.54,-87.88,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,928,AY598711.2,Globisporangium acanthophoron CBS 337.30,
259,OEO_O259,RH-CT-2-2,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,763,AY598711.2,Globisporangium acanthophoron CBS 337.30,
286,OEO_O286,RH-CT-29,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,917,AY598711.2,Globisporangium acanthophoron CBS 337.30,
